date,temperature_c,humidity_pct,wind_speed_kmh,solar_radiation_w_m2,pressure_hpa,rainfall_mm,heat_index_c,wbgt_c,apparent_temperature_c,thermal_stress_score,thermal_stress_level,heatwave
2020-01-01 00:00:00,37.5,32.6,4.3,423.0,1018.7,0.2,38.6,35.3,39.6,27.41,Low,0
2020-01-01 06:00:00,33.0,34.2,6.1,599.0,1007.5,0.3,34.0,31.5,33.5,26.78,Low,0
2020-01-01 12:00:00,38.5,54.6,3.4,777.0,1000.4,2.5,40.8,37.3,46.1,37.0,Moderate,0
2020-01-01 18:00:00,44.7,41.5,7.1,620.0,991.8,0.4,45.9,42.3,52.2,33.86,Moderate,1
2020-01-02 00:00:00,32.4,38.6,12.8,623.0,992.7,0.5,32.8,31.1,32.1,26.52,Low,0
2020-01-02 06:00:00,32.4,68.4,8.4,459.0,1009.1,4.0,34.8,32.0,37.7,34.84,Moderate,0
2020-01-02 12:00:00,45.1,68.8,11.2,492.0,993.9,1.6,47.2,43.5,60.7,39.51,High,1
2020-01-02 18:00:00,39.4,81.8,7.9,310.0,1006.0,0.2,42.5,38.6,53.1,39.0,High,0
2020-01-03 00:00:00,30.7,51.3,14.7,762.0,1025.4,0.2,31.5,30.2,31.3,29.49,Moderate,0
2020-01-03 06:00:00,37.8,25.5,2.3,115.0,1001.5,0.5,38.8,35.0,38.8,23.96,Low,0
2020-01-03 12:00:00,30.8,40.5,13.5,793.0,995.4,1.4,31.2,29.9,30.1,27.72,Low,0
2020-01-03 18:00:00,30.7,93.5,23.7,199.0,1008.8,2.1,32.5,31.1,35.7,34.68,Moderate,0
2020-01-04 00:00:00,35.7,64.7,5.5,791.0,992.7,0.5,38.3,35.2,43.1,37.25,Moderate,0
2020-01-04 06:00:00,20.6,73.2,21.7,462.0,1022.2,3.1,21.7,21.6,18.2,27.78,Low,0
2020-01-04 12:00:00,21.9,20.6,11.6,242.0,1019.0,0.2,21.5,20.7,17.4,14.57,Low,0
2020-01-04 18:00:00,30.1,58.9,9.0,695.0,1003.4,0.3,32.0,29.8,32.6,31.79,Moderate,0
2020-01-05 00:00:00,26.9,22.8,7.4,782.0,996.0,5.3,27.2,25.8,24.1,24.04,Low,0
2020-01-05 06:00:00,36.2,62.7,22.2,440.0,1000.7,0.2,36.7,35.2,40.3,30.9,Moderate,0
2020-01-05 12:00:00,27.6,89.1,7.9,730.0,1002.0,3.3,31.1,28.7,32.9,39.75,High,0
2020-01-05 18:00:00,24.1,92.6,26.0,50.0,1008.8,1.8,25.6,25.0,24.2,29.8,Moderate,0
2020-01-06 00:00:00,44.3,60.5,24.1,220.0,1015.4,0.1,44.4,42.2,54.0,31.92,Moderate,1
2020-01-06 06:00:00,32.4,54.4,6.6,873.0,994.6,1.0,34.3,31.9,35.8,33.76,Moderate,0
2020-01-06 12:00:00,34.5,90.9,8.3,494.0,1015.1,1.1,38.0,34.7,45.2,40.68,High,0
2020-01-06 18:00:00,24.0,70.5,1.6,84.0,1011.2,4.0,27.3,24.2,26.6,30.14,Moderate,0
2020-01-07 00:00:00,30.2,24.9,9.2,375.0,999.9,0.8,30.3,28.4,27.9,21.07,Low,0
2020-01-07 06:00:00,34.8,54.9,10.0,319.0,994.1,0.9,36.3,33.6,38.9,30.09,Moderate,0
2020-01-07 12:00:00,25.9,38.0,19.8,509.0,1006.2,0.2,25.4,25.1,22.2,21.08,Low,0
2020-01-07 18:00:00,36.6,55.2,24.9,457.0,994.4,1.5,36.4,35.3,38.9,29.24,Moderate,0
2020-01-08 00:00:00,29.8,54.2,15.6,595.0,1015.2,0.4,30.6,29.3,30.2,28.44,Moderate,0
2020-01-08 06:00:00,32.0,63.7,18.8,533.0,993.8,0.1,32.9,31.6,34.3,30.6,Moderate,0
2020-01-08 12:00:00,29.8,46.8,8.3,890.0,1010.5,8.7,31.1,29.3,30.6,33.17,Moderate,0
2020-01-08 18:00:00,47.0,32.3,3.5,656.0,1004.2,0.5,48.2,44.1,53.6,33.62,Moderate,1
2020-01-09 00:00:00,33.9,57.8,11.6,664.0,999.4,0.2,35.4,33.2,37.7,32.43,Moderate,0
2020-01-09 06:00:00,26.6,82.3,19.6,841.0,1004.0,1.8,28.4,27.7,28.2,35.56,Moderate,0
2020-01-09 12:00:00,39.8,69.8,0.5,453.0,1015.8,2.6,43.2,38.7,52.4,39.57,High,0
2020-01-09 18:00:00,25.5,45.4,10.4,235.0,993.1,0.1,26.5,24.8,24.4,22.54,Low,0
2020-01-10 00:00:00,35.5,90.2,1.9,852.0,1000.9,0.2,39.8,36.0,48.3,44.6,High,0
